,Computerspiel nach Plattform,Herrscher nach Titel,Internet,Krankheit,Krieg nach Typ,Literaturwissenschaft,Millionenstadt,Oper,Wald,Wirtschaft
Computerspiel nach Plattform,11,0,0,0,0,1,0,0,0,0
Herrscher nach Titel,0,12,0,0,1,1,0,0,0,0
Internet,0,0,8,0,0,1,0,0,0,0
Krankheit,0,0,0,8,0,0,0,0,0,0
Krieg nach Typ,0,0,0,0,6,0,1,0,0,1
Literaturwissenschaft,0,0,0,0,0,5,0,1,0,0
Millionenstadt,0,0,0,0,0,0,11,0,0,0
Oper,0,0,0,0,0,0,0,4,0,0
Wald,0,0,0,0,0,0,0,0,7,0
Wirtschaft,0,0,0,1,0,1,0,0,0,7
